Study,ParticipantID,Hours,Prop_Meaningful,Prop_Distant,Prop_TV,Prop_Noise,Prop_Silence,AWC_Hourly,CTC_Hourly,CVC_Hourly
TimePoint1,001L,15.8469444444444,0.149047310207015,0.17823274728742,0.0769864502445266,0.016284246875493,0.579449245385546,1111.57075496503,36.6632193377623,154.982558852916
TimePoint1,005L,16,0.186319444444444,0.217413194444444,0.06703125,0.01984375,0.509392361111111,1621.5625,53.9375,169.8125
TimePoint1,006L,16,0.249253472222222,0.254600694444444,0.0373090277777778,0.231545138888889,0.227291666666667,2077.25,91.9375,293.0625
TimePoint1,007L,15.8711111111111,0.196181041725007,0.187692523102772,0.0193748249789975,0.0215625875105013,0.575189022682722,1176.7292075049,43.2231867824139,166.213945673481
TimePoint1,008L,14.9394444444444,0.292235320367409,0.200959428805176,0.0240415008738983,0.0214012123015135,0.461362537652003,2164.67219515823,81.7968837157413,268.550816258228
TimePoint1,009L,16,0.193368055555556,0.254305555555556,0.0853993055555556,0.0273090277777778,0.439618055555556,1015,26.25,155.0625
TimePoint1,010L,16,0.211423611111111,0.122534722222222,0.0160763888888889,0.0219444444444444,0.628020833333333,1080.6875,70.4375,274.1875
TimePoint1,011L,16,0.205711805555556,0.189288194444444,0.0526736111111111,0.0237847222222222,0.528541666666667,1152.5,60.25,210.75
TimePoint1,012L,16,0.142604166666667,0.177534722222222,0.0916840277777778,0.0128472222222222,0.575329861111111,724.4375,39.8125,188.25
TimePoint1,014L,16,0.282065972222222,0.251527777777778,0.0389409722222222,0.0224652777777778,0.405,1364.1875,90.4375,360.6875
TimePoint1,015L,16,0.168333333333333,0.326458333333333,0.00907986111111111,0.32828125,0.167847222222222,1067.375,37.5,176.1875
TimePoint1,016L,16,0.238611111111111,0.171788194444444,0.10234375,0.0227604166666667,0.464496527777778,1484.0625,57.5625,235.3125
TimePoint1,018L,16,0.332222222222222,0.104357638888889,0.0672395833333333,0.0115798611111111,0.484600694444444,1965.6875,90.125,323.1875
TimePoint1,019L,16,0.177829861111111,0.279913194444444,0.0699652777777778,0.288524305555556,0.183767361111111,897.375,34.9375,167
TimePoint1,020L,16,0.183090277777778,0.212760416666667,0.0449131944444444,0.382829861111111,0.17640625,875.3125,41.1875,181.4375
TimePoint1,021L,16,0.200243055555556,0.155347222222222,0.0541319444444444,0.01203125,0.578246527777778,1382.875,40.625,128.9375
TimePoint1,022L,14.9905555555556,0.134621798910425,0.236834303079717,0.172256606011192,0.242689841752214,0.213597450246451,918.845198828892,22.1472779157247,70.0441018419005
